Year,state,TotalCount,pop1000,epi_rate,division,region
1916,KENTUCKY,515,2411,21.360431356283698,East South Central,South
1916,LOUISIANA,3924,1799,218.12117843246247,West South Central,South
1916,MAINE,19,775,2.4516129032258065,New England,Northeast
1916,MARYLAND,951,1415,67.20848056537102,South Atlantic,South
1916,MASSACHUSETTS,16513,3726,443.18303811057433,New England,Northeast
1916,MICHIGAN,3947,3353,117.71547867581272,East North Central,North Central
1916,MINNESOTA,42,2308,1.8197573656845754,West North Central,North Central
1916,MISSOURI,3219,3527,91.2673660334562,West North Central,North Central
1916,MONTANA,1063,487,218.2751540041068,Mountain,West
1916,NEBRASKA,337,1275,26.43137254901961,West North Central,North Central
1916,NEW HAMPSHIRE,1703,445,382.69662921348316,New England,Northeast
1916,NEW JERSEY,11478,2918,393.35161069225495,Middle Atlantic,Northeast
1916,NEW YORK,8889,9848,90.26198212835094,Middle Atlantic,Northeast
1916,NORTH CAROLINA,49,2513,1.9498607242339834,South Atlantic,South
1916,OHIO,18101,5366,337.3276183376817,East North Central,North Central
1916,OKLAHOMA,248,1907,13.004719454640798,West South Central,South
1916,OREGON,826,756,109.25925925925925,Pacific,West
1916,PENNSYLVANIA,27600,8463,326.12548741580997,Middle Atlantic,Northeast
1916,RHODE ISLAND,130,598,21.73913043478261,New England,Northeast
1916,SOUTH CAROLINA,124,1650,7.515151515151515,South Atlantic,South
1916,TENNESSEE,1230,2304,53.385416666666664,East South Central,South
1916,TEXAS,34,4444,0.7650765076507651,West South Central,South
1916,UTAH,4530,436,1038.9908256880733,Mountain,West
1916,VERMONT,239,360,66.38888888888889,New England,Northeast
1916,VIRGINIA,9358,2316,404.05872193436966,South Atlantic,South
1916,WASHINGTON,4309,1255,343.34661354581675,Pacific,West
1916,WEST VIRGINIA,1309,1414,92.57425742574257,South Atlantic,South
1916,WISCONSIN,6580,2562,256.8306010928962,East North Central,North Central
1917,ALABAMA,5134,2361,217.45023295213892,East South Central,South
1917,ARKANSAS,767,1737,44.15659182498561,West South Central,South
1917,CALIFORNIA,11982,3171,377.86187322611164,Pacific,West
1917,COLORADO,4936,910,542.4175824175825,Mountain,West
1917,CONNECTICUT,2776,1327,209.19366993217784,New England,Northeast
1917,DELAWARE,79,222,35.585585585585584,South Atlantic,South
1917,GEORGIA,329,2885,11.403812824956674,South Atlantic,South
1917,ILLINOIS,22116,6313,350.3247267543165,East North Central,North Central
1917,INDIANA,8444,2910,290.1718213058419,East North Central,North Central
1917,IOWA,603,2382,25.31486146095718,West North Central,North Central
1917,KANSAS,2950,1748,168.76430205949657,West North Central,North Central
1917,KENTUCKY,668,2421,27.591904171829825,East South Central,South
1917,LOUISIANA,4736,1795,263.8440111420613,West South Central,South
1917,MAINE,1053,777,135.52123552123552,New England,Northeast
1917,MARYLAND,167,1428,11.694677871148459,South Atlantic,South
1917,MASSACHUSETTS,16186,3738,433.012306046014,New England,Northeast
1917,MICHIGAN,7314,3451,211.9385685308606,East North Central,North Central
1917,MINNESOTA,748,2329,32.11678832116788,West North Central,North Central
1917,MISSISSIPPI,36,1820,1.9780219780219779,East South Central,South
1917,MISSOURI,2184,3470,62.939481268011534,West North Central,North Central
1917,MONTANA,360,505,71.28712871287128,Mountain,West
1917,NEBRASKA,2025,1285,157.5875486381323,West North Central,North Central
1917,NEW HAMPSHIRE,1076,447,240.71588366890379,New England,Northeast
1917,NEW JERSEY,7816,2976,262.63440860215053,Middle Atlantic,Northeast
1917,NEW YORK,9800,9993,98.06864805363755,Middle Atlantic,Northeast
1917,NORTH CAROLINA,1438,2546,56.48075412411626,South Atlantic,South
1917,OHIO,8046,5510,146.02540834845735,East North Central,North Central
1917,OKLAHOMA,944,1960,48.16326530612245,West South Central,South
1917,OREGON,2214,763,290.170380078637,Pacific,West
1917,PENNSYLVANIA,10445,8578,121.76498018186057,Middle Atlantic,Northeast
1917,RHODE ISLAND,51,606,8.415841584158416,New England,Northeast
1917,SOUTH CAROLINA,111,1675,6.626865671641791,South Atlantic,South
1917,TENNESSEE,2185,2331,93.73659373659373,East South Central,South
1917,TEXAS,1418,4563,31.076046460661843,West South Central,South
1917,UTAH,1668,444,375.6756756756757,Mountain,West
1917,VERMONT,134,372,36.02150537634409,New England,Northeast
1917,VIRGINIA,3691,2313,159.57630782533508,South Atlantic,South
1917,WASHINGTON,3180,1287,247.08624708624706,Pacific,West
1917,WEST VIRGINIA,96,1439,6.671299513551077,South Atlantic,South
1917,WISCONSIN,2580,2587,99.72941631233088,East North Central,North Central
1918,ALABAMA,1651,2343,70.46521553563807,East South Central,South
1918,ARKANSAS,324,1749,18.524871355060036,West South Central,South
1918,CALIFORNIA,11522,3262,353.2188841201717,Pacific,West
1918,COLORADO,2485,906,274.28256070640174,Mountain,West
1918,CONNECTICUT,1259,1329,94.73288186606472,New England,Northeast
1918,DELAWARE,454,220,206.36363636363635,South Atlantic,South
1918,FLORIDA,301,865,34.797687861271676,South Atlantic,South
